事务的 ACID 四个特性各代表什么?<br><br><small style='color:#888'>提示: 原子-一致-隔离-持久</small>,"<b>答案:</b><br>• <code>A 原子性 Atomicity 要么全做要么全不做</code><br>• <code>C 一致性 Consistent 事务结束时所有数据正确</code><br>• <code>I 隔离性 Isolation 并发事务互不干涉</code><br>• <code>D 持久性 Durability 提交后永久不可回滚</code><br><br><b>解释:</b><br>ACID = Atomicity 原子 / Consistent 一致 / Isolation 隔离 / Durability 持久。考试必考的口诀题。提交后即持久,不能再回滚<br><br><b>记忆钩子:</b> 阿姨爱我的爹",杭州培训::达梦::概念
SQL 四大分类(DDL/DQL/DML/DCL)各管什么?<br><br><small style='color:#888'>提示: D 后面四个字母</small>,"<b>答案:</b><br>• <code>DDL 定义对象 CREATE/ALTER/DROP/TRUNCATE</code><br>• <code>DQL 查询 SELECT</code><br>• <code>DML 操作记录 INSERT/UPDATE/DELETE</code><br>• <code>DCL 权限/安全 GRANT/REVOKE</code><br><br><b>解释:</b><br>DDL=Definition 定义,DQL=Query 查询,DML=Manipulation 操作,DCL=Control 控制权限。一定别把 TRUNCATE 划到 DML——它是 DDL!<br><br><b>记忆钩子:</b> 定义/查询/操作/控制",杭州培训::达梦::概念
判断:数据库的 TRUNCATE TABLE 可以回滚<br><br><small style='color:#888'>提示: TRUNCATE 是 DDL 还是 DML?</small>,"<b>答案:</b><br>• <code>错</code><br>• <code>TRUNCATE 不可回滚,DELETE 才可以</code><br>• <code>TRUNCATE 是 DDL,无日志,超快;DELETE 是 DML,记日志,可 rollback</code><br><br><b>解释:</b><br>TRUNCATE TABLE 是 DDL 操作,不写日志,执行后数据立即清空且**不可回滚**;DELETE 是 DML,有日志可回滚。删整表用 TRUNCATE 性能远超 DELETE,但不能反悔<br><br><b>记忆钩子:</b> TRUNCATE=DDL=不可回滚",杭州培训::达梦::概念
DM8 数据库由哪两部分构成?<br><br><small style='color:#888'>提示: 磁盘上 vs 运行中</small>,<b>答案:</b><br>• <code>数据库(磁盘上数据集合)</code><br>• <code>实例(运行的进程/线程+共享内存)</code><br><br><b>解释:</b><br>DM8 数据库 = 静态部分(磁盘文件:数据/控制/日志/配置) + 动态部分(实例:dmserver 进程+各种线程+共享内存)。这是 Oracle/DM 体系的标准定义<br><br><b>记忆钩子:</b> 数据库=磁盘+实例,杭州培训::达梦::概念
DM8 的 6 个常用表空间名称是什么?<br><br><small style='color:#888'>提示: ROLL/TEMP/MAIN...</small>,"<b>答案:</b><br>• <code>SYSTEM 系统表空间</code><br>• <code>ROLL 回滚表空间(UNDO)</code><br>• <code>TEMP 临时表空间</code><br>• <code>MAIN 主用户表空间</code><br>• <code>HMAIN HUGE列存专用</code><br>• <code>自定义业务表空间</code><br><br><b>解释:</b><br>6 个核心表空间:SYSTEM(数据字典) / ROLL(UNDO日志,回滚用) / TEMP(排序/HASH中间结果) / MAIN(默认主用户,业务表千万别建在这!) / HMAIN(列存) / 自定义。考试常考<br><br><b>记忆钩子:</b> 系统/回滚/临时/主/列存/自定义",杭州培训::达梦::概念
DM 表空间-段-簇-页的逻辑层次关系<br><br><small style='color:#888'>提示: 由大到小</small>,"<b>答案:</b><br>• <code>表空间→数据文件 / 段</code><br>• <code>段→簇</code><br>• <code>簇→页</code><br>• <code>页→磁盘块</code><br><br><b>解释:</b><br>表空间(Tablespace)包含多个数据文件和段;段由簇组成;簇是连续的数据页集合;页是最小 I/O 单位(默认 8K/16K/32K),映射到磁盘块。一张表/索引就是一个段<br><br><b>记忆钩子:</b> 空间-段-簇-页-块",杭州培训::达梦::概念
判断:一个数据文件可以属于多个表空间<br><br><small style='color:#888'>提示: 是 1:N 还是 N:N?</small>,"<b>答案:</b><br>• <code>错</code><br>• <code>一个数据文件只能属于一个表空间</code><br>• <code>但一个表空间可以包含多个数据文件</code><br><br><b>解释:</b><br>表空间和数据文件是 1:N 的关系——一个表空间可加多个 *.DBF,但每个 *.DBF 只属于一个表空间。这是 DM 存储设计的基本规则<br><br><b>记忆钩子:</b> 1表空间→多文件,1文件→1表空间",杭州培训::达梦::概念
事务的 4 种隔离级别从弱到强排列<br><br><small style='color:#888'>提示: 脏->提交->重复->串行</small>,"<b>答案:</b><br>• <code>Read Uncommitted 脏读</code><br>• <code>Read Committed 读提交</code><br>• <code>Repeatable Reads 可重复读</code><br>• <code>Serializable 可串行化</code><br><br><b>解释:</b><br>从弱到强:Read Uncommitted(允许脏读) → Read Committed(防脏读) → Repeatable Reads(防脏读+不可重复读) → Serializable(全防,最强但性能最差)<br><br><b>记忆钩子:</b> 脏-提交-重复-串行",杭州培训::达梦::概念
"DM 创建表的完整 SQL 模板(含字段约束)<br><br><small style='color:#888'>提示: CREATE TABLE ... (列名 类型 NULL/NOT NULL, ...)</small>","<b>答案:</b><br>• <code>CREATE TABLE EMPLOYEE (EMPLOYEE_ID INT NOT NULL, EMPLOYEE_NAME VARCHAR(20) NULL, EMAIL VARCHAR(50) NOT NULL, HIRE_DATE DATE NOT NULL);</code><br><br><b>解释:</b><br>DM 建表语法 = `CREATE TABLE 表名 (列名 数据类型 [NOT] NULL, ...)`。字符用 VARCHAR(n),整数 INT,日期 DATE<br><br><b>记忆钩子:</b> CREATE TABLE 名(列 类型 NULL)",杭州培训::达梦::SQL
DM 给已有表加一个字段的 SQL<br><br><small style='color:#888'>提示: ALTER TABLE ... ADD ...</small>,"<b>答案:</b><br>• <code>ALTER TABLE EMPLOYEE ADD IDENTITY_CARD VARCHAR(18);</code><br><br><b>解释:</b><br>DM 加列语法:ALTER TABLE 表名 ADD 列名 类型;不需要 COLUMN 关键字也能用,但带上 ADD COLUMN(...) 也对(尤其是多列加括号语法)<br><br><b>记忆钩子:</b> ALTER TABLE ADD 列名 类型",杭州培训::达梦::SQL
